2025-04-26 14:41:25.495 | ERROR    | extractor.consumer:worker:167 - [ERROR at ATTEMPT 2/3] Worker 3 got error: HTTPSConnectionPool(host='generativelanguage.googleapis.com', port=443): Max retries exceeded with url: /v1beta/models/gemini-2.0-flash-lite:generateContent (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001FBF677E500>: Failed to resolve 'generativelanguage.googleapis.com' ([Errno 11001] getaddrinfo failed)")) | Text: did you hear about the injuries she sustained . | Trigger: ['injuries']
2025-04-26 14:41:25.497 | ERROR    | extractor.consumer:worker:167 - [ERROR at ATTEMPT 2/3] Worker 2 got error: HTTPSConnectionPool(host='generativelanguage.googleapis.com', port=443): Max retries exceeded with url: /v1beta/models/gemini-2.0-flash-lite:generateContent (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001FBF677C250>: Failed to resolve 'generativelanguage.googleapis.com' ([Errno 11001] getaddrinfo failed)")) | Text: his last hope for survival might be that the united states loses its taste for such losses and forces president bush to negotiate a compromise that would allow hussein and his family to keep power in baghdad . | Trigger: ['losses']
2025-04-26 14:41:25.505 | ERROR    | extractor.consumer:worker:167 - [ERROR at ATTEMPT 2/3] Worker 0 got error: HTTPSConnectionPool(host='generativelanguage.googleapis.com', port=443): Max retries exceeded with url: /v1beta/models/gemini-2.0-flash-lite:generateContent (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001FBF5B18D90>: Failed to resolve 'generativelanguage.googleapis.com' ([Errno 11001] getaddrinfo failed)")) | Text: the interim government didn't hesitate to torture opponents , just like saddam did . | Trigger: ['torture', 'did']
2025-04-26 14:41:25.509 | ERROR    | extractor.consumer:worker:167 - [ERROR at ATTEMPT 2/3] Worker 1 got error: HTTPSConnectionPool(host='generativelanguage.googleapis.com', port=443): Max retries exceeded with url: /v1beta/models/gemini-2.0-flash-lite:generateContent (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001FBF6821C30>: Failed to resolve 'generativelanguage.googleapis.com' ([Errno 11001] getaddrinfo failed)")) | Text: iraq does not report on its military casualties , but iraqi officials say 420 civilians have been killed and about 4 , 000 injured . | Trigger: ['casualties', 'killed', 'injured']
2025-04-26 14:41:25.513 | ERROR    | extractor.consumer:worker:167 - [ERROR at ATTEMPT 3/3] Worker 4 got error: HTTPSConnectionPool(host='generativelanguage.googleapis.com', port=443): Max retries exceeded with url: /v1beta/models/gemini-2.0-flash-lite:generateContent (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001FBF677CB80>: Failed to resolve 'generativelanguage.googleapis.com' ([Errno 11001] getaddrinfo failed)")) | Text: israeli troops shot and killed a 16-year-old palestinian boy and critically injured two children , ages 7 and 9 , during conflicts in the west bank that erupted tuesday as israeli and palestinian leaders moved toward talks on a new mideast peace plan . | Trigger: ['conflicts', 'shot', 'killed', 'injured', 'talks']
2025-04-26 14:41:25.517 | ERROR    | extractor.consumer:worker:167 - [ERROR at ATTEMPT 3/3] Worker 3 got error: HTTPSConnectionPool(host='generativelanguage.googleapis.com', port=443): Max retries exceeded with url: /v1beta/models/gemini-2.0-flash-lite:generateContent (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001FBF5C5CE20>: Failed to resolve 'generativelanguage.googleapis.com' ([Errno 11001] getaddrinfo failed)")) | Text: did you hear about the injuries she sustained . | Trigger: ['injuries']
2025-04-26 14:41:25.521 | ERROR    | extractor.consumer:worker:167 - [ERROR at ATTEMPT 3/3] Worker 2 got error: HTTPSConnectionPool(host='generativelanguage.googleapis.com', port=443): Max retries exceeded with url: /v1beta/models/gemini-2.0-flash-lite:generateContent (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001FBF5C5F6D0>: Failed to resolve 'generativelanguage.googleapis.com' ([Errno 11001] getaddrinfo failed)")) | Text: his last hope for survival might be that the united states loses its taste for such losses and forces president bush to negotiate a compromise that would allow hussein and his family to keep power in baghdad . | Trigger: ['losses']
2025-04-26 14:41:25.525 | ERROR    | extractor.consumer:worker:167 - [ERROR at ATTEMPT 3/3] Worker 0 got error: HTTPSConnectionPool(host='generativelanguage.googleapis.com', port=443): Max retries exceeded with url: /v1beta/models/gemini-2.0-flash-lite:generateContent (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001FBF5E33EE0>: Failed to resolve 'generativelanguage.googleapis.com' ([Errno 11001] getaddrinfo failed)")) | Text: the interim government didn't hesitate to torture opponents , just like saddam did . | Trigger: ['torture', 'did']
2025-04-26 14:41:25.528 | ERROR    | extractor.consumer:worker:167 - [ERROR at ATTEMPT 3/3] Worker 1 got error: HTTPSConnectionPool(host='generativelanguage.googleapis.com', port=443): Max retries exceeded with url: /v1beta/models/gemini-2.0-flash-lite:generateContent (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001FBF6CD50F0>: Failed to resolve 'generativelanguage.googleapis.com' ([Errno 11001] getaddrinfo failed)")) | Text: iraq does not report on its military casualties , but iraqi officials say 420 civilians have been killed and about 4 , 000 injured . | Trigger: ['casualties', 'killed', 'injured']
2025-04-26 14:41:25.529 | ERROR    | extractor.consumer:worker:171 - [FAIL] Worker 4 cannot extract event list after 3 attempts. | Text: israeli troops shot and killed a 16-year-old palestinian boy and critically injured two children , ages 7 and 9 , during conflicts in the west bank that erupted tuesday as israeli and palestinian leaders moved toward talks on a new mideast peace plan . | Trigger: ['conflicts', 'shot', 'killed', 'injured', 'talks']
2025-04-26 14:41:25.531 | ERROR    | extractor.consumer:worker:171 - [FAIL] Worker 3 cannot extract event list after 3 attempts. | Text: did you hear about the injuries she sustained . | Trigger: ['injuries']
