2025-04-29 09:56:07.640 | ERROR    | extractor.eval_extractor:eval:55 - [ERROR] False positive samples: {(8, 8), (17, 17), (13, 13), (18, 18), (2, 2), (11, 11), (4, 4), (5, 5), (14, 14), (7, 7), (16, 16), (9, 9), (1, 1), (10, 10), (3, 3), (12, 12), (6, 6)} | Text: can owe tell us exactly the details , the precise details of how you arrested the suspect ?
2025-04-29 09:56:07.642 | ERROR    | extractor.eval_extractor:eval:55 - [ERROR] False positive samples: {(17, 17), (20, 20), (13, 13), (18, 18), (2, 2), (11, 11), (4, 4), (5, 5), (14, 14), (7, 7), (16, 16), (23, 23), (9, 9), (1, 1), (10, 10), (19, 19), (3, 3), (12, 12), (21, 21), (6, 6), (15, 15)} | Text: marines broke it up _ over the protests of iraqis not involved in the robbery _ and the thieves were arrested .
2025-04-29 09:56:07.644 | ERROR    | extractor.eval_extractor:eval:55 - [ERROR] False positive samples: {(17, 17), (18, 18), (2, 2), (11, 11), (4, 4), (5, 5), (14, 14), (7, 7), (16, 16), (9, 9), (1, 1), (10, 10), (19, 19), (3, 3), (12, 12), (6, 6), (15, 15)} | Text: currently in california , 7000 people serving 25 to year life sentences under the three strikes law .
2025-04-29 09:56:07.652 | ERROR    | extractor.eval_extractor:eval:55 - [ERROR] False positive samples: {(84, 84), (61, 61), (43, 43), (20, 20), (38, 38), (80, 80), (2, 2), (57, 57), (75, 75), (34, 34), (11, 11), (76, 76), (16, 16), (71, 71), (25, 25), (58, 58), (35, 35), (12, 12), (67, 67), (77, 77), (31, 31), (49, 49), (8, 8), (68, 68), (63, 63), (45, 45), (32, 32), (64, 64), (82, 82), (59, 59), (41, 41), (51, 51), (5, 5), (23, 23), (78, 78), (65, 65), (24, 24), (19, 19), (6, 6), (79, 79), (56, 56), (33, 33), (15, 15), (70, 70), (29, 29), (39, 39), (66, 66), (48, 48), (30, 30), (7, 7), (62, 62), (72, 72), (44, 44), (26, 26), (81, 81), (3, 3), (21, 21), (40, 40), (22, 22), (17, 17), (27, 27), (36, 36), (54, 54), (13, 13), (18, 18), (73, 73), (55, 55), (50, 50), (60, 60), (4, 4), (14, 14), (69, 69), (9, 9), (46, 46), (1, 1), (10, 10), (28, 28), (83, 83), (37, 37), (47, 47), (42, 42)} | Text: and , again fairly specifically-lrb-and i realise this is state specific , but i'm kinda looking for a general answer here-rrb-: if an eighteen year old gets caught selling marijuana to 12-14 year olds , and gets put away for , say , three years , is this the sort of deal where he's likely to get parole , or just do the time and leave again ?
2025-04-29 09:56:07.658 | ERROR    | extractor.eval_extractor:eval:55 - [ERROR] False positive samples: {(8, 8), (17, 17), (13, 13), (18, 18), (2, 2), (11, 11), (4, 4), (14, 14), (7, 7), (16, 16), (1, 1), (10, 10), (19, 19), (3, 3), (6, 6), (15, 15)} | Text: a convicted murderer is released from prison before serving his full sentence and then a nightmare becomes reality .
2025-04-29 09:56:07.662 | ERROR    | extractor.eval_extractor:eval:55 - [ERROR] False positive samples: {(4, 4), (8, 8), (5, 5), (7, 7), (9, 9), (1, 1), (11, 11), (13, 13), (10, 10), (3, 3), (2, 2), (6, 6), (15, 15)} | Text: ferris disappeared from sight , and cnn has confirmed he was taken into custody .
2025-04-29 09:56:07.663 | ERROR    | extractor.eval_extractor:eval:55 - [ERROR] False positive samples: {(8, 8), (17, 17), (20, 20), (13, 13), (18, 18), (2, 2), (11, 11), (4, 4), (5, 5), (14, 14), (7, 7), (23, 23), (9, 9), (1, 1), (10, 10), (19, 19), (12, 12), (21, 21), (6, 6), (22, 22)} | Text: taken into custody and he's currently at atlanta police department headquarters pending extradition back to the state of louisiana .
2025-04-29 09:56:07.665 | ERROR    | extractor.eval_extractor:eval:55 - [ERROR] False positive samples: {(8, 8), (5, 5), (14, 14), (7, 7), (9, 9), (1, 1), (13, 13), (3, 3), (12, 12), (2, 2), (6, 6), (11, 11), (15, 15)} | Text: most homosexuals arrested during the nazi era were imprisoned in normal jails .
2025-04-29 09:56:07.667 | ERROR    | extractor.eval_extractor:eval:55 - [ERROR] False positive samples: {(8, 8), (17, 17), (27, 27), (20, 20), (13, 13), (18, 18), (2, 2), (15, 15), (11, 11), (4, 4), (5, 5), (14, 14), (7, 7), (16, 16), (23, 23), (9, 9), (1, 1), (25, 25), (26, 26), (10, 10), (19, 19), (12, 12), (21, 21), (28, 28), (6, 6), (22, 22), (24, 24)} | Text: american commandos captured a half brother of saddam hussein on thursday , the latest success in a campaign to round up insiders from the former regime .
2025-04-29 09:56:07.668 | ERROR    | extractor.eval_extractor:eval:55 - [ERROR] False positive samples: {(4, 4), (8, 8), (7, 7), (9, 9), (1, 1), (13, 13), (10, 10), (3, 3), (12, 12), (2, 2), (6, 6), (11, 11)} | Text: the same weekend they arrested the guy , we had . . .
2025-04-29 09:56:07.672 | ERROR    | extractor.eval_extractor:eval:55 - [ERROR] False positive samples: {(8, 8), (17, 17), (27, 27), (20, 20), (29, 29), (13, 13), (18, 18), (2, 2), (15, 15), (11, 11), (4, 4), (31, 31), (5, 5), (7, 7), (16, 16), (14, 14), (23, 23), (9, 9), (1, 1), (25, 25), (26, 26), (10, 10), (19, 19), (3, 3), (12, 12), (21, 21), (28, 28), (6, 6), (22, 22), (24, 24)} | Text: and i'm curious , how can democrats claim that president bush is ignoring the war on terror if al qaeda's second key operative was just caught ?
2025-04-29 09:56:07.674 | ERROR    | extractor.eval_extractor:eval:55 - [ERROR] False positive samples: {(4, 4), (8, 8), (5, 5), (7, 7), (9, 9), (1, 1), (10, 10), (2, 2), (6, 6)} | Text: no , it was a joint effort by pakistan .
2025-04-29 09:56:07.677 | ERROR    | extractor.eval_extractor:eval:55 - [ERROR] False positive samples: {(20, 20), (29, 29), (33, 33), (2, 2), (11, 11), (30, 30), (7, 7), (16, 16), (25, 25), (26, 26), (3, 3), (12, 12), (21, 21), (31, 31), (8, 8), (17, 17), (27, 27), (13, 13), (32, 32), (18, 18), (4, 4), (5, 5), (14, 14), (23, 23), (9, 9), (1, 1), (10, 10), (19, 19), (28, 28), (6, 6), (15, 15)} | Text: but i don't think it's absolutely critical for the ultimate success of this mission that we apprehend him or find out what happened to him .
2025-04-29 09:56:07.678 | ERROR    | extractor.eval_extractor:eval:55 - [ERROR] False positive samples: {(4, 4), (8, 8), (5, 5), (7, 7), (9, 9), (1, 1), (13, 13), (10, 10), (3, 3), (2, 2), (6, 6), (11, 11)} | Text: they handcuffed the man and they took him into custody .
2025-04-29 09:56:07.682 | ERROR    | extractor.eval_extractor:eval:55 - [ERROR] False positive samples: {(43, 43), (52, 52), (20, 20), (29, 29), (38, 38), (33, 33), (37, 37), (39, 39), (42, 42), (2, 2), (48, 48), (34, 34), (11, 11), (30, 30), (7, 7), (16, 16), (25, 25), (26, 26), (35, 35), (44, 44), (3, 3), (12, 12), (21, 21), (22, 22), (31, 31), (40, 40), (49, 49), (8, 8), (17, 17), (27, 27), (36, 36), (45, 45), (13, 13), (32, 32), (18, 18), (50, 50), (51, 51), (4, 4), (5, 5), (14, 14), (23, 23), (9, 9), (46, 46), (1, 1), (24, 24), (10, 10), (19, 19), (28, 28), (6, 6), (47, 47), (15, 15)} | Text: house clearance royal marine style , troops from-lrb-unintelligible-rrb-commando task to seek out the last pockets of iraqi resistance in umm qasr go in hard to arrest suspected regime sympathizers and search for weapons .
2025-04-29 09:56:07.684 | ERROR    | extractor.eval_extractor:eval:55 - [ERROR] False positive samples: {(8, 8), (5, 5), (7, 7), (9, 9), (1, 1), (10, 10), (3, 3), (2, 2), (6, 6), (11, 11)} | Text: he had him arrested by his fedayeen saddam .
2025-04-29 09:56:07.685 | ERROR    | extractor.eval_extractor:eval:55 - [ERROR] False positive samples: {(20, 20), (29, 29), (38, 38), (37, 37), (39, 39), (2, 2), (34, 34), (11, 11), (30, 30), (7, 7), (16, 16), (25, 25), (26, 26), (35, 35), (3, 3), (12, 12), (21, 21), (22, 22), (31, 31), (8, 8), (17, 17), (27, 27), (36, 36), (13, 13), (32, 32), (18, 18), (4, 4), (5, 5), (14, 14), (23, 23), (9, 9), (1, 1), (24, 24), (10, 10), (6, 6), (15, 15)} | Text: two of the indicted men are out on bond , but samiel aryan and other defendant are held without bond which is to say they will stay in jail until the trial starts in roughly 18 months .
2025-04-29 09:56:07.693 | ERROR    | extractor.eval_extractor:eval:55 - [ERROR] False positive samples: {(17, 17), (13, 13), (18, 18), (2, 2), (11, 11), (4, 4), (5, 5), (14, 14), (7, 7), (16, 16), (9, 9), (1, 1), (10, 10), (19, 19), (3, 3), (12, 12), (6, 6)} | Text: some 3 , 000 people have been arrested since the disobedience campaigns began last week .
2025-04-29 09:56:07.695 | ERROR    | extractor.eval_extractor:eval:55 - [ERROR] False positive samples: {(8, 8), (17, 17), (20, 20), (13, 13), (18, 18), (2, 2), (11, 11), (4, 4), (5, 5), (14, 14), (16, 16), (23, 23), (9, 9), (1, 1), (10, 10), (19, 19), (3, 3), (12, 12), (21, 21), (6, 6), (22, 22), (15, 15)} | Text: earlier this week , security police detained the monitor's managing editor , nhial bol , for 24 hours .
2025-04-29 09:56:07.699 | ERROR    | extractor.eval_extractor:eval:55 - [ERROR] False positive samples: {(43, 43), (61, 61), (20, 20), (38, 38), (2, 2), (57, 57), (34, 34), (11, 11), (16, 16), (25, 25), (58, 58), (35, 35), (12, 12), (67, 67), (31, 31), (49, 49), (8, 8), (45, 45), (63, 63), (32, 32), (64, 64), (41, 41), (59, 59), (51, 51), (5, 5), (23, 23), (65, 65), (24, 24), (19, 19), (6, 6), (56, 56), (33, 33), (52, 52), (29, 29), (39, 39), (48, 48), (66, 66), (53, 53), (30, 30), (7, 7), (62, 62), (26, 26), (44, 44), (3, 3), (21, 21), (22, 22), (40, 40), (17, 17), (36, 36), (54, 54), (13, 13), (18, 18), (55, 55), (50, 50), (60, 60), (4, 4), (14, 14), (9, 9), (1, 1), (10, 10), (28, 28), (37, 37), (47, 47), (42, 42)} | Text: so you're basically free , with the expectation that you will not leave the state-lrb-assuming you've been jailed by the state gov ` t-rrb-and you have to check in with your parole officer on a regular basis-lrb-i think they give you a schedule-rrb-.
2025-04-29 09:56:07.702 | ERROR    | extractor.eval_extractor:eval:55 - [ERROR] False positive samples: {(43, 43), (20, 20), (29, 29), (38, 38), (37, 37), (39, 39), (42, 42), (2, 2), (48, 48), (11, 11), (30, 30), (7, 7), (16, 16), (25, 25), (26, 26), (35, 35), (44, 44), (3, 3), (12, 12), (21, 21), (22, 22), (31, 31), (40, 40), (49, 49), (8, 8), (27, 27), (36, 36), (45, 45), (13, 13), (32, 32), (18, 18), (41, 41), (4, 4), (5, 5), (14, 14), (23, 23), (9, 9), (46, 46), (1, 1), (24, 24), (10, 10), (19, 19), (28, 28), (6, 6), (47, 47), (15, 15)} | Text: on tuesday , saudi security officials said three suspected al-qaida militants were arrested in jiddah , saudi arabia , in sweeps following the near-simultaneous suicide attacks on three residential compounds on the outskirts of riyadh on may 12 .
2025-04-29 09:56:07.706 | ERROR    | extractor.eval_extractor:eval:55 - [ERROR] False positive samples: {(4, 4), (5, 5), (7, 7), (1, 1), (3, 3), (2, 2)} | Text: we had no part in it .
2025-04-29 09:56:07.707 | ERROR    | extractor.eval_extractor:eval:55 - [ERROR] False positive samples: {(17, 17), (18, 18), (2, 2), (11, 11), (4, 4), (5, 5), (14, 14), (7, 7), (16, 16), (9, 9), (1, 1), (10, 10), (19, 19), (3, 3), (12, 12), (6, 6), (15, 15)} | Text: currently in california , 7000 people serving 25 to year life sentences under the three strikes law .
2025-04-29 09:56:07.710 | ERROR    | extractor.eval_extractor:eval:55 - [ERROR] False positive samples: {(8, 8), (5, 5), (7, 7), (9, 9), (1, 1), (10, 10), (3, 3), (2, 2), (6, 6), (11, 11)} | Text: he had him arrested by his fedayeen saddam .
2025-04-29 09:56:07.713 | ERROR    | extractor.eval_extractor:eval:55 - [ERROR] False positive samples: {(20, 20), (29, 29), (38, 38), (37, 37), (39, 39), (2, 2), (34, 34), (11, 11), (30, 30), (7, 7), (16, 16), (25, 25), (26, 26), (35, 35), (3, 3), (12, 12), (21, 21), (22, 22), (31, 31), (8, 8), (17, 17), (27, 27), (36, 36), (13, 13), (32, 32), (18, 18), (4, 4), (5, 5), (14, 14), (23, 23), (9, 9), (1, 1), (24, 24), (10, 10), (6, 6), (15, 15)} | Text: two of the indicted men are out on bond , but samiel aryan and other defendant are held without bond which is to say they will stay in jail until the trial starts in roughly 18 months .
2025-04-29 09:56:07.715 | ERROR    | extractor.eval_extractor:eval:55 - [ERROR] False positive samples: {(20, 20), (29, 29), (2, 2), (11, 11), (30, 30), (7, 7), (16, 16), (25, 25), (26, 26), (3, 3), (12, 12), (21, 21), (22, 22), (31, 31), (8, 8), (17, 17), (27, 27), (13, 13), (32, 32), (18, 18), (4, 4), (5, 5), (14, 14), (23, 23), (9, 9), (1, 1), (24, 24), (10, 10), (19, 19), (6, 6), (15, 15)} | Text: thomas , owner a local gun and motorcycle shop , said he felt gutted when he saw the news reports of o'conner's vest on murder charges .
2025-04-29 09:56:07.717 | ERROR    | extractor.eval_extractor:eval:55 - [ERROR] False positive samples: {(8, 8), (17, 17), (20, 20), (13, 13), (18, 18), (2, 2), (11, 11), (4, 4), (5, 5), (14, 14), (7, 7), (16, 16), (9, 9), (1, 1), (10, 10), (3, 3), (12, 12), (21, 21), (6, 6), (22, 22), (15, 15)} | Text: and just to be clear , exactly where-- what kind of facility was it that you arrested him at ?
2025-04-29 09:56:07.718 | ERROR    | extractor.eval_extractor:eval:55 - [ERROR] False positive samples: {(8, 8), (20, 20), (18, 18), (2, 2), (15, 15), (4, 4), (5, 5), (14, 14), (7, 7), (16, 16), (23, 23), (9, 9), (1, 1), (10, 10), (19, 19), (3, 3), (12, 12), (21, 21), (6, 6), (22, 22), (24, 24)} | Text: it would be , certainly , to know , to apprehend him , to bring him before a court of justice .
