2025-04-19 19:57:25.558 | INFO     | __main__:<module>:159 - [INFO] Arguments:
2025-04-19 19:57:25.560 | INFO     | __main__:<module>:160 - Input root: data/data_text
2025-04-19 19:57:25.561 | INFO     | __main__:<module>:161 - Output root: test/output
2025-04-19 19:57:25.561 | INFO     | __main__:<module>:162 - Datasets: ['MAVEN']
2025-04-19 19:57:25.562 | INFO     | __main__:<module>:163 - Model: gemini-2.0-flash-lite
2025-04-19 19:57:25.562 | INFO     | __main__:<module>:164 - Candidate: 1
2025-04-19 19:57:25.562 | INFO     | __main__:<module>:165 - Num try: 3
2025-04-19 19:57:25.563 | INFO     | __main__:<module>:166 - Max consecutive 429 error: 100
2025-04-19 19:57:25.563 | INFO     | __main__:<module>:167 - Max num threads: 12
2025-04-19 19:57:25.564 | INFO     | __main__:<module>:168 - Resume: False
2025-04-19 19:57:25.564 | INFO     | __main__:<module>:169 - Convert test: False
2025-04-19 19:57:25.565 | INFO     | __main__:<module>:170 - [INFO] Start processing...
2025-04-19 19:57:25.566 | INFO     | extractor.consumer:__init__:39 - [INFO] Found 4 valid extractors
2025-04-19 19:57:25.567 | INFO     | extractor.consumer:pause_threads:59 - [PAUSE] All threads paused
2025-04-19 19:57:25.571 | INFO     | extractor.consumer:__init__:46 - [START] Start 4 threads
2025-04-19 19:57:25.572 | INFO     | __main__:run:63 - ====================================================================================================
2025-04-19 19:57:25.573 | INFO     | __main__:run:64 - ====================================================================================================
2025-04-19 19:57:25.576 | INFO     | extractor.producer:produce:19 - [PRODUCING] Start producing data/data_text\MAVEN\perm0\MAVEN_5task_2way_10shot.train.jsonl...
2025-04-19 19:57:25.585 | INFO     | extractor.producer:produce:38 - [PRODUCING] Finished producing data/data_text\MAVEN\perm0\MAVEN_5task_2way_10shot.train.jsonl with 280 item in 5 lines
2025-04-19 19:57:25.620 | INFO     | extractor.consumer:clear_results:71 - [CLEAR] All results cleared
2025-04-19 19:57:25.621 | INFO     | extractor.consumer:resume_threads:64 - [RESUME] All threads resumed
2025-04-19 19:57:25.624 | INFO     | extractor.consumer:consume:157 - [CONSUMING] Start consuming.
2025-04-19 19:57:25.646 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 2/3] Worker 0 | Text: the mcmahon killings or the mcmahon murders occurred on 24 march 1922 when six catholic civilians were shot dead at the home of the mcmahon family in belfast, northern ireland. | Got error: Trigger word 'abc' not found in text the mcmahon killings or the mcmahon murders occurred on 24 march 1922 when six catholic civilians were shot dead at the home of the mcmahon family in belfast, northern ireland..
2025-04-19 19:57:25.648 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 3/3] Worker 0 | Text: the mcmahon killings or the mcmahon murders occurred on 24 march 1922 when six catholic civilians were shot dead at the home of the mcmahon family in belfast, northern ireland. | Got error: Trigger word 'abc' not found in text the mcmahon killings or the mcmahon murders occurred on 24 march 1922 when six catholic civilians were shot dead at the home of the mcmahon family in belfast, northern ireland..
2025-04-19 19:57:25.650 | ERROR    | extractor.consumer:worker:144 - [ERROR] Worker 0 | Text: the mcmahon killings or the mcmahon murders occurred on 24 march 1922 when six catholic civilians were shot dead at the home of the mcmahon family in belfast, northern ireland. | Cannot process event list: [{'text': 'the mcmahon killings or the mcmahon murders occurred on 24 march 1922 when six catholic civilians were shot dead at the home of the mcmahon family in belfast, northern ireland.', 'event_type': 'meeting', 'trigger_word': 'abc', 'event_time': None, 'event_location': None, 'event_participants': []}]
2025-04-19 19:57:25.659 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 3/3] Worker 2 | Text: in england, 307 people were killed in the counties of lincolnshire, norfolk, suffolk and essex. | Got error: Trigger word 'abc' not found in text in england, 307 people were killed in the counties of lincolnshire, norfolk, suffolk and essex..
2025-04-19 19:57:25.662 | ERROR    | extractor.consumer:worker:144 - [ERROR] Worker 2 | Text: in england, 307 people were killed in the counties of lincolnshire, norfolk, suffolk and essex. | Cannot process event list: [{'text': 'in england, 307 people were killed in the counties of lincolnshire, norfolk, suffolk and essex.', 'event_type': 'meeting', 'trigger_word': 'abc', 'event_time': None, 'event_location': None, 'event_participants': []}]
2025-04-19 19:57:25.674 | ERROR    | extractor.consumer:worker:142 - [ERROR] Worker 1 | Text: the offensive, and in particular the degree of turkish involvement in it, has been widely attributed with the deportation of the native ethnic armenians of the town of kessab, who make up 70 % of its population, and has been compared with the past turkish killings of armenians during the hamidian massacres and armenian genocide. | Cannot extract event list after 3 attempts.
2025-04-19 19:57:25.678 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 1/3] Worker 1 | Text: they were forced into a small, narrow street in le chesnay and killed or captured. | Got error: Trigger word 'abc' not found in text they were forced into a small, narrow street in le chesnay and killed or captured..
2025-04-19 19:57:25.679 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 2/3] Worker 1 | Text: they were forced into a small, narrow street in le chesnay and killed or captured. | Got error: list index out of range
2025-04-19 19:57:25.689 | ERROR    | extractor.consumer:worker:142 - [ERROR] Worker 3 | Text: throughout the island, damage totaled $ 2 million ( 1987 usd ) and 10 people were killed. | Cannot extract event list after 3 attempts.
2025-04-19 19:57:25.694 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 1/3] Worker 0 | Text: the attacks killed 38 elementary schoolchildren and six adults, and also injured at least 58 other people. | Got error: list index out of range
2025-04-19 19:57:25.695 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 1/3] Worker 3 | Text: the chinese middle schools riots were a series of riots that broke out in the chinese singaporean community in 1956, resulting in 13 people killed and more than 100 injured. | Got error: list index out of range
2025-04-19 19:57:25.698 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 1/3] Worker 2 | Text: the explosions killed 193 people and injured around 2, 000. | Got error: Trigger word 'abc' not found in text the explosions killed 193 people and injured around 2, 000..
2025-04-19 19:57:25.700 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 2/3] Worker 3 | Text: the chinese middle schools riots were a series of riots that broke out in the chinese singaporean community in 1956, resulting in 13 people killed and more than 100 injured. | Got error: list index out of range
2025-04-19 19:57:25.721 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 2/3] Worker 3 | Text: the massacre was one of the most serious outbreaks of anti - christian violence in egypt, and the worst since the murder of 21 coptic christians in kosheh in january 2000. | Got error: list index out of range
2025-04-19 19:57:25.737 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 2/3] Worker 1 | Text: throughout the hurricane ' s path, 71 people are known to have been killed, 14 of whom were in saint lucia. | Got error: list index out of range
2025-04-19 19:57:25.737 | ERROR    | extractor.consumer:worker:142 - [ERROR] Worker 3 | Text: the massacre was one of the most serious outbreaks of anti - christian violence in egypt, and the worst since the murder of 21 coptic christians in kosheh in january 2000. | Cannot extract event list after 3 attempts.
2025-04-19 19:57:25.737 | ERROR    | extractor.consumer:worker:142 - [ERROR] Worker 0 | Text: the attacks killed 38 elementary schoolchildren and six adults, and also injured at least 58 other people. | Cannot extract event list after 3 attempts.
2025-04-19 19:57:25.740 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 1/3] Worker 2 | Text: it was reported that 35 isil militants had been killed in the first wave after footage from the fighter jets and unmanned aircraft were analysed, while the airstrikes in northern iraq were confirmed to have killed a high - ranking pkk militant and were alleged to have killed the pkk commander murat karayılan. | Got error: Trigger word 'abc' not found in text it was reported that 35 isil militants had been killed in the first wave after footage from the fighter jets and unmanned aircraft were analysed, while the airstrikes in northern iraq were confirmed to have killed a high - ranking pkk militant and were alleged to have killed the pkk commander murat karayılan..
2025-04-19 19:57:25.743 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 1/3] Worker 3 | Text: azaria chantel loren chamberlain ( 11 june – 17 august 1980 ) was an australian two - month - old baby girl who was killed by a dingo on the night of 17 august 1980, on a family camping trip to uluru ( also known as ayers rock ) in the northern territory. | Got error: list index out of range
2025-04-19 19:57:25.749 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 2/3] Worker 2 | Text: it was reported that 35 isil militants had been killed in the first wave after footage from the fighter jets and unmanned aircraft were analysed, while the airstrikes in northern iraq were confirmed to have killed a high - ranking pkk militant and were alleged to have killed the pkk commander murat karayılan. | Got error: Trigger word 'abc' not found in text it was reported that 35 isil militants had been killed in the first wave after footage from the fighter jets and unmanned aircraft were analysed, while the airstrikes in northern iraq were confirmed to have killed a high - ranking pkk militant and were alleged to have killed the pkk commander murat karayılan..
2025-04-19 19:57:25.751 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 2/3] Worker 3 | Text: azaria chantel loren chamberlain ( 11 june – 17 august 1980 ) was an australian two - month - old baby girl who was killed by a dingo on the night of 17 august 1980, on a family camping trip to uluru ( also known as ayers rock ) in the northern territory. | Got error: Trigger word 'abc' not found in text azaria chantel loren chamberlain ( 11 june – 17 august 1980 ) was an australian two - month - old baby girl who was killed by a dingo on the night of 17 august 1980, on a family camping trip to uluru ( also known as ayers rock ) in the northern territory..
2025-04-19 19:57:25.753 | ERROR    | extractor.consumer:worker:142 - [ERROR] Worker 1 | Text: throughout the hurricane ' s path, 71 people are known to have been killed, 14 of whom were in saint lucia. | Cannot extract event list after 3 attempts.
2025-04-19 19:57:25.759 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 1/3] Worker 3 | Text: more than a hundred cossacks were killed, but their gunfire forced a tatar retreat and allowed the capture of two tatar cannons. | Got error: Trigger word 'abc' not found in text more than a hundred cossacks were killed, but their gunfire forced a tatar retreat and allowed the capture of two tatar cannons..
2025-04-19 19:57:25.760 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 1/3] Worker 1 | Text: both enginemen and five passengers were killed. | Got error: Trigger word 'abc' not found in text both enginemen and five passengers were killed..
2025-04-19 19:57:25.764 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 1/3] Worker 3 | Text: crown prince dipendra was accused of the massacre according to the statements of the surviving eyewitnesses and reports of incident inquiry committee consisting of supreme court chief justice and the speaker of the house of representatives, but the nepalese authorities never officially revealed anyone ' s identity as the perpetrator of the massacre. | Got error: list index out of range
2025-04-19 19:57:25.768 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 2/3] Worker 3 | Text: crown prince dipendra was accused of the massacre according to the statements of the surviving eyewitnesses and reports of incident inquiry committee consisting of supreme court chief justice and the speaker of the house of representatives, but the nepalese authorities never officially revealed anyone ' s identity as the perpetrator of the massacre. | Got error: Trigger word 'abc' not found in text crown prince dipendra was accused of the massacre according to the statements of the surviving eyewitnesses and reports of incident inquiry committee consisting of supreme court chief justice and the speaker of the house of representatives, but the nepalese authorities never officially revealed anyone ' s identity as the perpetrator of the massacre..
2025-04-19 19:57:25.768 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 2/3] Worker 2 | Text: the kidnappers murdered laporte and negotiations led to cross ' s release and the kidnappers ' exile to cuba. | Got error: list index out of range
2025-04-19 19:57:25.775 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 1/3] Worker 2 | Text: they told passers - by that they had killed a soldier to avenge the killing of muslims by the british armed forces. | Got error: Trigger word 'abc' not found in text they told passers - by that they had killed a soldier to avenge the killing of muslims by the british armed forces..
2025-04-19 19:57:25.784 | ERROR    | extractor.consumer:worker:144 - [ERROR] Worker 3 | Text: crown prince dipendra was accused of the massacre according to the statements of the surviving eyewitnesses and reports of incident inquiry committee consisting of supreme court chief justice and the speaker of the house of representatives, but the nepalese authorities never officially revealed anyone ' s identity as the perpetrator of the massacre. | Cannot process event list: [{'text': "crown prince dipendra was accused of the massacre according to the statements of the surviving eyewitnesses and reports of incident inquiry committee consisting of supreme court chief justice and the speaker of the house of representatives, but the nepalese authorities never officially revealed anyone ' s identity as the perpetrator of the massacre.", 'event_type': 'meeting', 'trigger_word': 'abc', 'event_time': None, 'event_location': None, 'event_participants': []}]
2025-04-19 19:57:25.786 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 1/3] Worker 0 | Text: the 1740 batavia massacre (, literally ` ` murder of the chinese ' ' ;, meaning ` ` chinatown tumult ' ' ) was a pogrom in which dutch east indies soldiers and native collaborators killed ethnic chinese residents of the port city of batavia ( present - day jakarta ) in the dutch east indies. | Got error: list index out of range
2025-04-19 19:57:25.798 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 2/3] Worker 0 | Text: the 1740 batavia massacre (, literally ` ` murder of the chinese ' ' ;, meaning ` ` chinatown tumult ' ' ) was a pogrom in which dutch east indies soldiers and native collaborators killed ethnic chinese residents of the port city of batavia ( present - day jakarta ) in the dutch east indies. | Got error: Trigger word 'abc' not found in text the 1740 batavia massacre (, literally ` ` murder of the chinese ' ' ;, meaning ` ` chinatown tumult ' ' ) was a pogrom in which dutch east indies soldiers and native collaborators killed ethnic chinese residents of the port city of batavia ( present - day jakarta ) in the dutch east indies..
2025-04-19 19:57:25.799 | ERROR    | extractor.consumer:worker:144 - [ERROR] Worker 1 | Text: both enginemen and five passengers were killed. | Cannot process event list: [{'text': 'both enginemen and five passengers were killed.', 'event_type': 'meeting', 'trigger_word': 'abc', 'event_time': None, 'event_location': None, 'event_participants': []}]
2025-04-19 19:57:25.801 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 1/3] Worker 2 | Text: in all, minor injuries were reported, three people died in san bernardino when their car swept into a channel, and an engineer was killed returning to china lake when her car was swept into a wash. damage in the region totaled $ 19 million ( 1983 usd ). | Got error: list index out of range
2025-04-19 19:57:25.803 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 1/3] Worker 1 | Text: the massacre in rock springs was one among several instances of violence culminating from years of anti - chinese sentiment in the united states. | Got error: list index out of range
