2025-04-21 14:57:01.034 | INFO     | __main__:<module>:164 - [INFO] Arguments:
2025-04-21 14:57:01.035 | INFO     | __main__:<module>:165 - Input root: data/data_text
2025-04-21 14:57:01.035 | INFO     | __main__:<module>:166 - Output root: output/des3
2025-04-21 14:57:01.036 | INFO     | __main__:<module>:167 - Datasets: ['MAVEN', 'ACE']
2025-04-21 14:57:01.036 | INFO     | __main__:<module>:168 - Model: gemini-2.0-flash-lite
2025-04-21 14:57:01.037 | INFO     | __main__:<module>:169 - Candidate: 5
2025-04-21 14:57:01.037 | INFO     | __main__:<module>:170 - Num try: 3
2025-04-21 14:57:01.038 | INFO     | __main__:<module>:171 - Max consecutive 429 error: 4
2025-04-21 14:57:01.038 | INFO     | __main__:<module>:172 - Max num threads: 10
2025-04-21 14:57:01.039 | INFO     | __main__:<module>:173 - Resume: False
2025-04-21 14:57:01.039 | INFO     | __main__:<module>:174 - Convert test: False
2025-04-21 14:57:01.040 | INFO     | __main__:<module>:175 - [INFO] Start processing...
2025-04-21 14:57:19.980 | INFO     | extractor.consumer:__init__:45 - [INFO] Found 5 valid extractors
2025-04-21 14:57:21.981 | INFO     | extractor.consumer:pause_threads:66 - [PAUSE] All threads paused
2025-04-21 14:57:21.983 | INFO     | extractor.consumer:__init__:52 - [START] Start 5 threads
2025-04-21 14:57:21.984 | INFO     | __main__:run:66 - ====================================================================================================
2025-04-21 14:57:21.985 | INFO     | __main__:run:67 - Start processing data/data_text\MAVEN\perm0\MAVEN_5task_2way_10shot.train.jsonl to output/des3\MAVEN\perm0\MAVEN_5task_2way_10shot.train.jsonl
2025-04-21 14:57:21.986 | INFO     | __main__:run:68 - ====================================================================================================
2025-04-21 14:57:21.987 | INFO     | extractor.producer:produce:19 - [PRODUCING] Start producing data/data_text\MAVEN\perm0\MAVEN_5task_2way_10shot.train.jsonl...
2025-04-21 14:57:21.999 | INFO     | extractor.producer:produce:53 - [PRODUCING] Finished producing data/data_text\MAVEN\perm0\MAVEN_5task_2way_10shot.train.jsonl with 280 item in 5 lines
2025-04-21 14:57:22.002 | INFO     | extractor.consumer:clear_results:80 - [CLEAR] All results cleared
2025-04-21 14:57:22.003 | INFO     | extractor.consumer:consume:163 - [CONSUMING] Start consuming.
2025-04-21 14:57:22.004 | INFO     | extractor.consumer:resume_threads:71 - [RESUME] All threads resumed
2025-04-21 14:58:50.875 | ERROR    | extractor.consumer:worker:147 - [ERROR at ATTEMPT 2/3] Worker 4 got error: Trigger word 'flew' not found | Text: in raf bomber command had flown losing dropping approximately of bombs and killing over in duisburg alone.
2025-04-21 15:00:49.138 | CRITICAL | extractor.consumer:consume:178 - [FALTAL] Consuming interrupted by user. Stopping safely...
2025-04-21 15:00:49.140 | INFO     | extractor.consumer:resume_threads:71 - [RESUME] All threads resumed
2025-04-21 15:00:49.745 | ERROR    | extractor.consumer:worker:147 - [ERROR at ATTEMPT 1/3] Worker 3 got error: Trigger word 'blow up' not found | Text: as it was floating upward, he would appear with another guitar, aim the neck at the floating guitar, shoot the rockets, and blow it up.
2025-04-21 15:00:53.177 | ERROR    | extractor.consumer:worker:147 - [ERROR at ATTEMPT 2/3] Worker 3 got error: Trigger word 'blow up' not found | Text: as it was floating upward, he would appear with another guitar, aim the neck at the floating guitar, shoot the rockets, and blow it up.
2025-04-21 15:00:56.449 | ERROR    | extractor.consumer:worker:147 - [ERROR at ATTEMPT 3/3] Worker 3 got error: Trigger word 'blow up' not found | Text: as it was floating upward, he would appear with another guitar, aim the neck at the floating guitar, shoot the rockets, and blow it up.
2025-04-21 15:00:56.451 | ERROR    | extractor.consumer:worker:152 - [FAIL] Worker 3 fail to process event list: [{'event_type': 'motion', 'trigger_word': 'floating', 'event_time': None, 'event_location': None, 'event_participants': ['he', 'guitar', 'another guitar'], 'description': 'the trigger word floating refers to the event of something moving or being carried along in the air'}, {'event_type': 'appearance', 'trigger_word': 'appear', 'event_time': None, 'event_location': None, 'event_participants': ['he', 'guitar', 'another guitar'], 'description': 'the trigger word appear refers to the event of coming into sight or becoming visible'}, {'event_type': 'action', 'trigger_word': 'aim', 'event_time': None, 'event_location': None, 'event_participants': ['he', 'guitar', 'the neck'], 'description': 'the trigger word aim refers to the event of pointing or directing a weapon or missile at a target'}, {'event_type': 'action', 'trigger_word': 'shoot', 'event_time': None, 'event_location': None, 'event_participants': ['he', 'rockets', 'the rockets'], 'description': 'the trigger word shoot refers to the event of firing a bullet from a gun'}, {'event_type': 'destruction', 'trigger_word': 'blow up', 'event_time': None, 'event_location': None, 'event_participants': ['he'], 'description': 'the trigger word blow up refers to the event of something destroyed by an explosion'}, {'event_type': 'destruction', 'trigger_word': 'blow', 'event_time': None, 'event_location': None, 'event_participants': ['he', 'guitar', 'it'], 'description': 'the trigger word blow refers to the event of causing something to explode or be destroyed.'}] | Text: as it was floating upward, he would appear with another guitar, aim the neck at the floating guitar, shoot the rockets, and blow it up.
2025-04-21 15:01:03.389 | INFO     | extractor.consumer:stop_threads:60 - [STOP] All threads stopped
2025-04-21 15:01:03.391 | INFO     | extractor.consumer:consume:184 - [FINISHED] Finished consuming 234/280 items with 46/280 remained items.
2025-04-21 15:01:03.392 | INFO     | extractor.consumer:consume:195 - [FINISHED] Really processed 234/280 items with 41.88% event list are added | AVG added events: 0.62 | AVG added attributes: 1.06
2025-04-21 15:01:03.404 | INFO     | __main__:run:90 - [SAVE FILE] All item saved to output/des3\MAVEN\perm0\MAVEN_5task_2way_10shot.train.jsonl
2025-04-21 15:01:03.404 | INFO     | __main__:run:66 - ====================================================================================================
2025-04-21 15:01:03.406 | INFO     | __main__:run:67 - Start processing data/data_text\MAVEN\perm0\MAVEN_5task_2way_5shot.train.jsonl to output/des3\MAVEN\perm0\MAVEN_5task_2way_5shot.train.jsonl
2025-04-21 15:01:03.407 | INFO     | __main__:run:68 - ====================================================================================================
2025-04-21 15:01:03.407 | INFO     | extractor.producer:produce:19 - [PRODUCING] Start producing data/data_text\MAVEN\perm0\MAVEN_5task_2way_5shot.train.jsonl...
2025-04-21 15:01:03.418 | INFO     | extractor.producer:produce:53 - [PRODUCING] Finished producing data/data_text\MAVEN\perm0\MAVEN_5task_2way_5shot.train.jsonl with 240 item in 5 lines
2025-04-21 15:01:03.420 | INFO     | extractor.consumer:clear_results:80 - [CLEAR] All results cleared
2025-04-21 15:01:03.421 | INFO     | extractor.consumer:consume:163 - [CONSUMING] Start consuming.
2025-04-21 15:01:03.423 | INFO     | extractor.consumer:resume_threads:71 - [RESUME] All threads resumed
2025-04-21 15:01:03.426 | CRITICAL | extractor.consumer:consume:169 - [FATAL] No threads are running. Consuming remained 240 items ...
2025-04-21 15:01:05.441 | INFO     | extractor.consumer:pause_threads:66 - [PAUSE] All threads paused
2025-04-21 15:01:05.443 | INFO     | extractor.consumer:consume:184 - [FINISHED] Finished consuming 0/240 items with 240/240 remained items.
2025-04-21 15:01:05.451 | INFO     | __main__:run:90 - [SAVE FILE] All item saved to output/des3\MAVEN\perm0\MAVEN_5task_2way_5shot.train.jsonl
2025-04-21 15:01:05.453 | INFO     | __main__:run:66 - ====================================================================================================
2025-04-21 15:01:05.454 | INFO     | __main__:run:67 - Start processing data/data_text\MAVEN\perm1\MAVEN_5task_2way_10shot.train.jsonl to output/des3\MAVEN\perm1\MAVEN_5task_2way_10shot.train.jsonl
2025-04-21 15:01:05.455 | INFO     | __main__:run:68 - ====================================================================================================
2025-04-21 15:01:05.456 | INFO     | extractor.producer:produce:19 - [PRODUCING] Start producing data/data_text\MAVEN\perm1\MAVEN_5task_2way_10shot.train.jsonl...
2025-04-21 15:01:05.580 | INFO     | extractor.producer:produce:53 - [PRODUCING] Finished producing data/data_text\MAVEN\perm1\MAVEN_5task_2way_10shot.train.jsonl with 280 item in 5 lines
2025-04-21 15:01:05.582 | INFO     | extractor.consumer:clear_results:80 - [CLEAR] All results cleared
2025-04-21 15:01:05.583 | INFO     | extractor.consumer:consume:163 - [CONSUMING] Start consuming.
2025-04-21 15:01:05.584 | INFO     | extractor.consumer:resume_threads:71 - [RESUME] All threads resumed
2025-04-21 15:01:05.585 | CRITICAL | extractor.consumer:consume:169 - [FATAL] No threads are running. Consuming remained 280 items ...
2025-04-21 15:01:07.595 | INFO     | extractor.consumer:pause_threads:66 - [PAUSE] All threads paused
2025-04-21 15:01:07.597 | INFO     | extractor.consumer:consume:184 - [FINISHED] Finished consuming 0/280 items with 280/280 remained items.
2025-04-21 15:01:07.605 | INFO     | __main__:run:90 - [SAVE FILE] All item saved to output/des3\MAVEN\perm1\MAVEN_5task_2way_10shot.train.jsonl
2025-04-21 15:01:07.606 | INFO     | __main__:run:66 - ====================================================================================================
2025-04-21 15:01:07.607 | INFO     | __main__:run:67 - Start processing data/data_text\MAVEN\perm1\MAVEN_5task_2way_5shot.train.jsonl to output/des3\MAVEN\perm1\MAVEN_5task_2way_5shot.train.jsonl
2025-04-21 15:01:07.608 | INFO     | __main__:run:68 - ====================================================================================================
2025-04-21 15:01:07.609 | INFO     | extractor.producer:produce:19 - [PRODUCING] Start producing data/data_text\MAVEN\perm1\MAVEN_5task_2way_5shot.train.jsonl...
2025-04-21 15:01:07.621 | INFO     | extractor.producer:produce:53 - [PRODUCING] Finished producing data/data_text\MAVEN\perm1\MAVEN_5task_2way_5shot.train.jsonl with 240 item in 5 lines
2025-04-21 15:01:07.623 | INFO     | extractor.consumer:clear_results:80 - [CLEAR] All results cleared
2025-04-21 15:01:07.624 | INFO     | extractor.consumer:consume:163 - [CONSUMING] Start consuming.
2025-04-21 15:01:07.626 | INFO     | extractor.consumer:resume_threads:71 - [RESUME] All threads resumed
2025-04-21 15:01:07.627 | CRITICAL | extractor.consumer:consume:169 - [FATAL] No threads are running. Consuming remained 240 items ...
2025-04-21 15:01:09.640 | INFO     | extractor.consumer:pause_threads:66 - [PAUSE] All threads paused
2025-04-21 15:01:09.642 | INFO     | extractor.consumer:consume:184 - [FINISHED] Finished consuming 0/240 items with 240/240 remained items.
2025-04-21 15:01:09.650 | INFO     | __main__:run:90 - [SAVE FILE] All item saved to output/des3\MAVEN\perm1\MAVEN_5task_2way_5shot.train.jsonl
2025-04-21 15:01:09.651 | INFO     | __main__:run:66 - ====================================================================================================
2025-04-21 15:01:09.653 | INFO     | __main__:run:67 - Start processing data/data_text\MAVEN\perm2\MAVEN_5task_2way_10shot.train.jsonl to output/des3\MAVEN\perm2\MAVEN_5task_2way_10shot.train.jsonl
2025-04-21 15:01:09.654 | INFO     | __main__:run:68 - ====================================================================================================
2025-04-21 15:01:09.655 | INFO     | extractor.producer:produce:19 - [PRODUCING] Start producing data/data_text\MAVEN\perm2\MAVEN_5task_2way_10shot.train.jsonl...
2025-04-21 15:01:09.667 | INFO     | extractor.producer:produce:53 - [PRODUCING] Finished producing data/data_text\MAVEN\perm2\MAVEN_5task_2way_10shot.train.jsonl with 280 item in 5 lines
2025-04-21 15:01:09.669 | INFO     | extractor.consumer:clear_results:80 - [CLEAR] All results cleared
2025-04-21 15:01:09.671 | INFO     | extractor.consumer:consume:163 - [CONSUMING] Start consuming.
2025-04-21 15:01:09.672 | INFO     | extractor.consumer:resume_threads:71 - [RESUME] All threads resumed
2025-04-21 15:01:09.674 | CRITICAL | extractor.consumer:consume:169 - [FATAL] No threads are running. Consuming remained 280 items ...
2025-04-21 15:01:11.684 | INFO     | extractor.consumer:pause_threads:66 - [PAUSE] All threads paused
2025-04-21 15:01:11.686 | INFO     | extractor.consumer:consume:184 - [FINISHED] Finished consuming 0/280 items with 280/280 remained items.
2025-04-21 15:01:11.694 | INFO     | __main__:run:90 - [SAVE FILE] All item saved to output/des3\MAVEN\perm2\MAVEN_5task_2way_10shot.train.jsonl
2025-04-21 15:01:11.695 | INFO     | __main__:run:66 - ====================================================================================================
2025-04-21 15:01:11.696 | INFO     | __main__:run:67 - Start processing data/data_text\MAVEN\perm2\MAVEN_5task_2way_5shot.train.jsonl to output/des3\MAVEN\perm2\MAVEN_5task_2way_5shot.train.jsonl
2025-04-21 15:01:11.697 | INFO     | __main__:run:68 - ====================================================================================================
2025-04-21 15:01:11.697 | INFO     | extractor.producer:produce:19 - [PRODUCING] Start producing data/data_text\MAVEN\perm2\MAVEN_5task_2way_5shot.train.jsonl...
2025-04-21 15:01:11.708 | INFO     | extractor.producer:produce:53 - [PRODUCING] Finished producing data/data_text\MAVEN\perm2\MAVEN_5task_2way_5shot.train.jsonl with 240 item in 5 lines
2025-04-21 15:01:11.711 | INFO     | extractor.consumer:clear_results:80 - [CLEAR] All results cleared
2025-04-21 15:01:11.712 | INFO     | extractor.consumer:consume:163 - [CONSUMING] Start consuming.
2025-04-21 15:01:11.713 | INFO     | extractor.consumer:resume_threads:71 - [RESUME] All threads resumed
2025-04-21 15:01:11.714 | CRITICAL | extractor.consumer:consume:169 - [FATAL] No threads are running. Consuming remained 240 items ...
2025-04-21 15:01:13.728 | INFO     | extractor.consumer:pause_threads:66 - [PAUSE] All threads paused
2025-04-21 15:01:13.734 | INFO     | extractor.consumer:consume:184 - [FINISHED] Finished consuming 0/240 items with 240/240 remained items.
2025-04-21 15:01:13.751 | INFO     | __main__:run:90 - [SAVE FILE] All item saved to output/des3\MAVEN\perm2\MAVEN_5task_2way_5shot.train.jsonl
2025-04-21 15:01:13.757 | INFO     | __main__:run:66 - ====================================================================================================
